sample_id,tile_id,biome,mae_m,rmse_m,pearson_r,absrel,delta1,delta2,delta3,oracle_mae_m,oracle_rmse_m,oracle_pearson_r,valid_pixels
potsdam_3_12_014,3_12,urban,3.0796,3.9967,0.5555,0.0756,0.9597,1.0,1.0,2.5076,3.3169,0.5555,262144
potsdam_3_12_015,3_12,urban,8.5373,11.7683,0.946,0.1579,0.6081,0.9778,1.0,2.1536,3.6621,0.946,262144
potsdam_3_12_016,3_12,urban,6.2827,8.9649,0.7652,0.1282,0.7025,0.9993,1.0,3.9706,5.0907,0.7652,262144
potsdam_3_12_017,3_12,urban,5.3725,6.3402,0.9123,0.1126,0.9669,1.0,1.0,1.8535,2.993,0.9123,262144
potsdam_3_12_018,3_12,urban,1.818,2.3724,0.9422,0.0464,0.9999,1.0,1.0,1.064,1.6403,0.9422,262144
potsdam_3_12_019,3_12,urban,2.4065,3.0879,0.8699,0.0618,0.9887,1.0,1.0,1.6404,2.5694,0.8699,262144
potsdam_3_12_020,3_12,urban,2.4576,3.0637,0.2602,0.0691,0.9995,1.0,1.0,0.2758,0.6018,0.2602,262144
potsdam_3_12_021,3_12,urban,1.4413,1.9456,0.7763,0.0389,1.0,1.0,1.0,1.1399,1.494,0.7763,262144
potsdam_3_12_022,3_12,urban,3.2475,3.8613,0.112,0.0918,0.9857,1.0,1.0,1.3894,2.5928,0.112,262144
potsdam_3_12_023,3_12,urban,3.1777,3.6832,0.6325,0.0949,0.9862,1.0,1.0,0.2543,0.3898,0.6325,262144
potsdam_3_12_024,3_12,urban,2.5004,3.1466,0.4703,0.0722,0.9942,1.0,1.0,1.0607,1.8097,0.4703,262144
potsdam_3_13_000,3_13,urban,1.2429,1.456,0.3105,0.0345,1.0,1.0,1.0,0.4559,0.7559,0.3105,262144
potsdam_3_13_001,3_13,urban,3.4212,4.6212,0.7331,0.0793,0.9431,1.0,1.0,2.5743,3.2434,0.7331,262144
potsdam_3_13_002,3_13,urban,2.4696,3.4452,0.9416,0.0576,0.9948,1.0,1.0,1.353,1.9844,0.9416,262144
potsdam_3_13_003,3_13,urban,3.3489,4.1546,0.9675,0.074,1.0,1.0,1.0,1.1719,1.6784,0.9675,262144
potsdam_3_13_004,3_13,urban,3.7401,5.4426,0.6976,0.0854,0.9274,0.9903,1.0,3.1643,4.7856,0.6976,262144
potsdam_3_13_005,3_13,urban,3.7245,4.6577,0.9375,0.0822,0.9925,1.0,1.0,1.3326,2.2092,0.9375,262144
potsdam_3_13_006,3_13,urban,6.1638,7.142,0.6314,0.1339,0.808,0.9997,1.0,3.2595,3.9766,0.6314,262144
potsdam_3_13_007,3_13,urban,1.5993,1.781,0.8368,0.0469,1.0,1.0,1.0,0.852,1.1728,0.8368,262144
potsdam_3_13_008,3_13,urban,1.908,2.823,0.8418,0.0503,0.9758,1.0,1.0,1.1158,2.3456,0.8418,262144
potsdam_3_13_009,3_13,urban,1.9665,2.7569,0.7231,0.0512,0.9925,1.0,1.0,1.8709,2.7164,0.7231,262144
potsdam_3_13_010,3_13,urban,4.0445,4.6594,0.8893,0.0946,0.9908,1.0,1.0,2.0982,2.9128,0.8893,262144
